Mon,date,year,r1,r2
8,29,2013,3,6
8,28,2013,2,5
8,27,2013,2,0
8,26,2013,6,3
8,25,2013,4,3
8,24,2013,2,9
8,23,2013,2,9
8,22,2013,8,8
8,21,2013,0,2
8,20,2013,8,6
8,19,2013,2,7
8,18,2013,3,8
8,17,2013,0,4
8,16,2013,6,3
8,15,2013,2,6
8,14,2013,5,0
8,13,2013,6,0
8,12,2013,0,9
8,11,2013,1,4
8,10,2013,5,0
8,09,2013,2,3
8,08,2013,3,4
8,07,2013,9,1
8,06,2013,6,4
8,05,2013,3,9
8,04,2013,3,5
8,03,2013,3,1
8,02,2013,4,6
8,01,2013,5,3
7,31,2013,7,7
7,30,2013,4,7
7,29,2013,8,1
7,28,2013,6,7
7,27,2013,1,5
7,26,2013,7,9
7,25,2013,9,6
7,24,2013,6,1
7,23,2013,0,1
7,22,2013,2,7
7,21,2013,0,4
7,20,2013,2,1
7,19,2013,4,2
7,18,2013,1,9
7,17,2013,3,9
7,16,2013,2,9
7,15,2013,4,1
7,14,2013,0,4
7,13,2013,7,7
7,12,2013,4,1
7,11,2013,8,2
7,10,2013,4,0
7,09,2013,6,8
7,08,2013,5,6
7,07,2013,0,2
7,06,2013,5,7
7,05,2013,7,4
7,04,2013,3,2
7,03,2013,0,5
7,02,2013,0,2
7,01,2013,2,9
6,30,2013,7,6
6,29,2013,1,2
6,28,2013,5,3
6,27,2013,4,8
6,26,2013,6,8
6,25,2013,7,9
6,24,2013,0,5
6,23,2013,7,8
6,22,2013,6,5
6,21,2013,1,3
6,20,2013,5,8
6,19,2013,9,6
6,18,2013,2,2
6,17,2013,4,4
6,16,2013,3,9
6,15,2013,5,1
6,14,2013,8,3
6,13,2013,3,3
6,12,2013,8,6
6,11,2013,3,2
6,10,2013,1,8
6,09,2013,7,5
6,08,2013,4,8
6,07,2013,2,5
6,06,2013,3,4
6,05,2013,3,4
6,04,2013,2,5
6,03,2013,5,9
6,02,2013,1,4
6,01,2013,5,5
5,31,2013,6,0
5,30,2013,6,1
5,29,2013,2,7
5,28,2013,1,6
5,27,2013,3,2
5,26,2013,1,6
5,25,2013,5,4
5,24,2013,3,4
5,23,2013,8,5
5,22,2013,5,2
5,21,2013,8,7
5,20,2013,2,7
5,19,2013,3,0
5,18,2013,0,4
5,17,2013,2,0
5,16,2013,3,4
5,15,2013,7,7
5,14,2013,6,9
5,13,2013,8,9
5,12,2013,4,7
5,11,2013,2,6
5,10,2013,0,7
5,09,2013,5,8
5,08,2013,9,5
5,07,2013,5,7
5,06,2013,1,3
5,05,2013,5,0
5,04,2013,5,3
5,03,2013,8,9
5,02,2013,5,7
5,01,2013,7,9
4,30,2013,6,5
4,29,2013,0,2
4,28,2013,0,5
4,27,2013,2,8
4,26,2013,6,3
4,25,2013,7,7
4,24,2013,6,8
4,23,2013,6,3
4,22,2013,8,2
4,21,2013,3,2
4,20,2013,8,9
4,19,2013,9,1
4,18,2013,2,2
4,17,2013,6,0
4,16,2013,2,8
4,15,2013,0,2
4,14,2013,1,1
4,13,2013,6,0
4,12,2013,0,1
4,11,2013,5,7
4,10,2013,2,6
4,09,2013,0,9
4,08,2013,5,9
4,07,2013,1,5
4,06,2013,2,6
4,05,2013,8,8
4,04,2013,5,6
4,03,2013,0,0
4,02,2013,5,7
4,01,2013,1,7
3,31,2013,7,7
3,30,2013,6,7
3,29,2013,9,4
3,28,2013,3,9
3,27,2013,5,2
3,26,2013,2,7
3,25,2013,1,4
3,24,2013,1,6
3,23,2013,3,5
3,22,2013,1,6
3,21,2013,3,1
3,20,2013,5,7
3,19,2013,5,8
3,18,2013,0,3
3,17,2013,1,8
3,16,2013,6,7
3,15,2013,7,6
3,14,2013,2,3
3,13,2013,6,1
3,12,2013,6,8
3,11,2013,3,2
3,10,2013,6,5
3,09,2013,1,8
3,08,2013,5,5
3,07,2013,4,1
3,06,2013,3,6
3,05,2013,9,3
3,04,2013,3,9
3,03,2013,5,8
3,02,2013,1,6
3,01,2013,6,5
2,28,2013,7,1
2,27,2013,5,7
2,26,2013,4,9
2,25,2013,9,9
2,24,2013,2,5
2,23,2013,8,5
2,22,2013,4,6
2,21,2013,2,2
2,20,2013,5,3
2,19,2013,0,3
2,18,2013,8,4
2,17,2013,5,6
2,16,2013,5,6
2,15,2013,8,2
2,14,2013,8,8
2,13,2013,3,1
2,12,2013,9,9
2,11,2013,1,6
2,10,2013,3,0
2,09,2013,2,6
2,08,2013,2,0
2,07,2013,5,5
2,06,2013,3,1
2,05,2013,1,0
2,04,2013,1,5
2,03,2013,0,6
2,02,2013,5,7
2,01,2013,8,0
1,31,2013,7,5
1,30,2013,0,9
1,29,2013,4,7
1,28,2013,3,7
1,27,2013,5,3
1,26,2013,6,4
1,25,2013,3,8
1,24,2013,8,3
1,23,2013,7,0
1,22,2013,3,2
1,21,2013,3,9
1,20,2013,0,4
1,19,2013,3,3
1,18,2013,9,9
1,17,2013,0,6
1,16,2013,1,5
1,15,2013,4,2
1,14,2013,2,3
1,13,2013,2,9
1,12,2013,0,8
1,11,2013,6,8
1,10,2013,8,0
1,09,2013,8,3
1,08,2013,2,9
1,07,2013,4,8
1,06,2013,5,8
1,05,2013,4,3
1,04,2013,8,1
1,03,2013,0,5
1,02,2013,9,6
1,01,2013,7,7
12,31,2014,8,5
12,30,2014,0,3
12,29,2014,7,5
12,28,2014,2,1
12,27,2014,2,8
12,26,2014,6,8
12,25,2014,1,4
12,24,2014,3,1
12,23,2014,4,6
12,22,2014,1,2
12,21,2014,5,0
12,20,2014,9,3
12,19,2014,5,3
12,18,2014,9,9
12,17,2014,0,1
12,16,2014,2,8
12,15,2014,4,5
12,14,2014,6,3
12,13,2014,1,2
12,12,2014,3,5
12,11,2014,1,7
12,10,2014,0,8
12,09,2014,7,7
12,08,2014,6,2
12,07,2014,0,1
12,06,2014,2,2
12,05,2014,4,3
12,04,2014,1,9
12,03,2014,1,0
12,02,2014,1,3
12,01,2014,7,4
11,30,2014,8,3
11,29,2014,3,0
11,28,2014,4,8
11,27,2014,4,3
11,26,2014,5,6
11,25,2014,9,3
11,24,2014,7,2
11,23,2014,2,0
11,22,2014,1,5
11,21,2014,4,7
11,20,2014,1,4
11,19,2014,1,8
11,18,2014,2,1
11,17,2014,1,4
11,16,2014,9,3
11,15,2014,2,2
11,14,2014,7,7
11,13,2014,4,3
11,12,2014,7,5
11,11,2014,8,9
11,10,2014,5,7
11,09,2014,1,7
11,08,2014,9,7
11,07,2014,3,4
11,06,2014,0,4
11,05,2014,9,2
11,04,2014,4,5
11,03,2014,6,6
11,02,2014,0,9
11,01,2014,2,2
10,31,2014,6,0
10,30,2014,7,4
10,29,2014,2,7
10,28,2014,9,9
10,27,2014,1,9
10,26,2014,0,6
10,25,2014,2,0
10,24,2014,9,1
10,23,2014,9,6
10,22,2014,4,2
10,21,2014,7,4
10,20,2014,6,6
10,19,2014,4,4
10,18,2014,6,5
10,17,2014,6,4
10,16,2014,6,3
10,15,2014,8,9
10,14,2014,5,5
10,13,2014,0,5
10,12,2014,2,6
10,11,2014,6,2
10,10,2014,6,9
10,09,2014,2,8
10,08,2014,8,0
10,07,2014,1,3
10,06,2014,5,3
10,05,2014,3,1
10,04,2014,0,9
10,03,2014,9,2
10,02,2014,1,4
10,01,2014,2,4
9,30,2014,1,0
9,29,2014,4,4
9,28,2014,0,7
9,27,2014,5,6
9,26,2014,2,1
9,25,2014,9,4
9,24,2014,6,1
9,23,2014,1,1
9,22,2014,3,8
9,21,2014,6,9
9,20,2014,8,7
9,19,2014,5,8
9,18,2014,6,9
9,17,2014,3,1
9,16,2014,2,0
9,15,2014,8,2
9,14,2014,4,6
9,13,2014,1,1
9,12,2014,5,8
9,11,2014,7,9
9,10,2014,1,0
9,09,2014,1,2
9,08,2014,1,3
9,07,2014,7,3
9,06,2014,9,2
9,05,2014,6,7
9,04,2014,4,0
9,03,2014,4,9
9,02,2014,1,5
9,01,2014,2,9
8,31,2014,5,5
8,30,2014,8,5
8,29,2014,2,5
8,28,2014,3,3
8,27,2014,2,0
8,26,2014,7,2
8,25,2014,3,0
8,24,2014,6,5
8,23,2014,2,9
8,22,2014,7,0
8,21,2014,9,4
8,20,2014,4,6
8,19,2014,7,5
8,18,2014,6,2
8,17,2014,4,3
8,16,2014,2,3
8,15,2014,5,8
8,14,2014,0,3
8,13,2014,4,0
8,12,2014,8,1
8,11,2014,2,4
8,10,2014,9,0
8,09,2014,5,2
8,08,2014,1,0
8,07,2014,9,3
8,06,2014,2,7
8,05,2014,7,2
8,04,2014,5,0
8,03,2014,1,3
8,02,2014,8,1
8,01,2014,1,7
7,31,2014,5,1
7,30,2014,9,7
7,29,2014,9,0
7,28,2014,5,5
7,27,2014,9,2
7,26,2014,5,3
7,25,2014,1,2
7,24,2014,2,8
7,23,2014,4,9
7,22,2014,5,3
7,21,2014,1,5
7,20,2014,6,8
7,19,2014,3,4
7,18,2014,9,7
7,17,2014,4,9
7,16,2014,2,1
7,15,2014,8,9
7,14,2014,0,4
7,13,2014,2,6
7,12,2014,2,3
7,11,2014,3,1
7,10,2014,3,2
7,09,2014,9,2
7,08,2014,2,9
7,07,2014,7,4
7,06,2014,8,3
7,05,2014,3,1
7,04,2014,3,6
7,03,2014,5,7
7,02,2014,3,4
7,01,2014,9,4
6,30,2014,5,3
6,29,2014,4,6
6,28,2014,2,7
6,27,2014,5,2
6,26,2014,2,3
6,25,2014,0,2
6,24,2014,8,1
6,23,2014,6,4
6,22,2014,7,2
6,21,2014,7,2
6,20,2014,5,7
6,19,2014,0,3
6,18,2014,0,7
6,17,2014,6,9
6,16,2014,5,9
6,15,2014,3,1
6,14,2014,9,0
6,13,2014,4,6
6,12,2014,8,8
6,11,2014,5,5
6,10,2014,1,8
6,09,2014,2,3
6,08,2014,4,4
6,07,2014,6,3
6,06,2014,9,0
6,05,2014,6,8
6,04,2014,4,4
6,03,2014,5,2
6,02,2014,8,6
6,01,2014,8,2
5,31,2014,4,0
5,30,2014,5,0
5,29,2014,2,1
5,28,2014,5,3
5,27,2014,3,2
5,26,2014,6,3
5,25,2014,7,7
5,24,2014,5,7
5,23,2014,8,6
5,22,2014,4,5
5,21,2014,4,7
5,20,2014,7,4
5,19,2014,6,8
5,18,2014,8,0
5,17,2014,0,3
5,16,2014,9,2
5,15,2014,9,9
5,14,2014,0,5
5,13,2014,8,4
5,12,2014,0,2
5,11,2014,8,9
5,10,2014,4,2
5,09,2014,7,9
5,08,2014,3,2
5,07,2014,2,5
5,06,2014,6,9
5,05,2014,9,3
5,04,2014,4,2
5,03,2014,4,0
5,02,2014,1,8
5,01,2014,8,2
4,30,2014,8,5
4,29,2014,3,7
4,28,2014,0,4
4,27,2014,4,7
4,26,2014,1,7
4,25,2014,2,3
4,24,2014,0,8
4,23,2014,6,7
4,22,2014,0,7
4,21,2014,8,2
4,20,2014,4,1
4,19,2014,0,3
4,18,2014,8,7
4,17,2014,3,0
4,16,2014,5,5
4,15,2014,9,3
4,14,2014,0,8
4,13,2014,2,3
4,12,2014,9,4
4,11,2014,5,9
4,10,2014,7,7
4,09,2014,2,5
4,08,2014,3,8
4,07,2014,6,9
4,06,2014,1,2
4,05,2014,9,3
4,04,2014,0,5
4,03,2014,0,6
4,02,2014,0,6
4,01,2014,8,8
3,31,2014,8,8
3,30,2014,7,0
3,29,2014,7,9
3,28,2014,1,6
3,27,2014,3,5
3,26,2014,5,7
3,25,2014,9,3
3,24,2014,2,8
3,23,2014,5,9
3,22,2014,9,5
3,21,2014,5,4
3,20,2014,3,5
3,19,2014,0,3
3,18,2014,5,7
3,17,2014,2,6
3,16,2014,1,9
3,15,2014,8,5
3,14,2014,3,2
3,13,2014,5,0
3,12,2014,1,8
3,11,2014,0,5
3,10,2014,7,4
3,09,2014,6,2
3,08,2014,0,1
3,07,2014,4,6
3,06,2014,2,1
3,05,2014,0,8
3,04,2014,5,5
3,03,2014,9,9
3,02,2014,7,0
3,01,2014,5,1
2,28,2014,7,7
2,27,2014,5,1
2,26,2014,0,9
2,25,2014,0,5
2,24,2014,5,4
2,23,2014,2,1
2,22,2014,5,4
2,21,2014,6,4
2,20,2014,2,6
2,19,2014,7,4
2,18,2014,7,0
2,17,2014,4,9
2,16,2014,2,0
2,15,2014,5,2
2,14,2014,3,7
2,13,2014,6,4
2,12,2014,5,6
2,11,2014,3,8
2,10,2014,3,5
2,09,2014,4,3
2,08,2014,8,4
2,07,2014,7,2
2,06,2014,0,4
2,05,2014,5,4
2,04,2014,5,2
2,03,2014,7,7
2,02,2014,6,9
2,01,2014,5,0
1,31,2014,9,0
1,30,2014,5,0
1,29,2014,0,1
1,28,2014,0,7
1,27,2014,3,4
1,26,2014,9,3
1,25,2014,3,7
1,24,2014,6,1
1,23,2014,0,7
1,22,2014,3,3
1,21,2014,5,1
1,20,2014,1,8
1,19,2014,4,0
1,18,2014,3,6
1,17,2014,5,4
1,16,2014,0,5
1,15,2014,3,6
1,14,2014,6,1
1,13,2014,6,2
1,12,2014,9,3
1,11,2014,1,1
1,10,2014,1,5
1,09,2014,3,1
1,08,2014,3,9
1,07,2014,9,2
1,06,2014,6,1
1,05,2014,3,3
1,04,2014,5,6
1,03,2014,7,0
1,02,2014,5,3
1,01,2014,6,0
12,31,2015,3,5
12,30,2015,9,2
12,29,2015,2,0
12,28,2015,1,3
12,27,2015,1,1
12,26,2015,3,9
12,25,2015,1,0
12,24,2015,9,5
12,23,2015,6,5
12,22,2015,5,5
12,21,2015,6,0
12,20,2015,6,2
12,19,2015,5,6
12,18,2015,8,7
12,17,2015,9,0
12,16,2015,8,2
12,15,2015,4,7
12,14,2015,1,5
12,13,2015,8,6
12,12,2015,0,3
12,11,2015,4,5
12,10,2015,9,0
12,09,2015,6,9
12,08,2015,6,2
12,07,2015,9,9
12,06,2015,0,2
12,05,2015,2,2
12,04,2015,7,7
12,03,2015,9,7
12,02,2015,6,6
12,01,2015,1,3
11,30,2015,3,8
11,29,2015,1,1
11,28,2015,9,5
11,27,2015,6,6
11,26,2015,0,6
11,25,2015,0,1
11,24,2015,4,5
11,23,2015,9,0
11,22,2015,3,8
11,21,2015,2,3
11,20,2015,9,2
11,19,2015,2,2
11,18,2015,6,9
11,17,2015,8,2
11,16,2015,2,8
11,15,2015,4,9
11,14,2015,8,4
11,13,2015,8,3
11,12,2015,4,1
11,11,2015,0,3
11,10,2015,9,7
11,09,2015,4,2
11,08,2015,1,4
11,07,2015,4,7
11,06,2015,9,5
11,05,2015,2,8
11,04,2015,8,1
11,03,2015,6,7
11,02,2015,4,3
11,01,2015,4,6
10,31,2015,9,6
10,30,2015,8,5
10,29,2015,2,6
10,28,2015,1,6
10,27,2015,9,9
10,26,2015,0,3
10,25,2015,8,2
10,24,2015,5,5
10,23,2015,3,5
10,22,2015,9,9
10,21,2015,2,8
10,20,2015,9,2
10,19,2015,7,7
10,18,2015,4,0
10,17,2015,5,9
10,16,2015,2,1
10,15,2015,2,9
10,14,2015,8,1
10,13,2015,1,7
10,12,2015,4,8
10,11,2015,4,0
10,10,2015,7,9
10,09,2015,9,1
10,08,2015,2,2
10,07,2015,0,7
10,06,2015,0,4
10,05,2015,0,6
10,04,2015,9,1
10,03,2015,3,9
10,02,2015,8,2
10,01,2015,1,3
9,30,2015,0,7
9,29,2015,2,7
9,28,2015,3,1
9,27,2015,7,8
9,26,2015,1,0
9,25,2015,0,3
9,24,2015,0,1
9,23,2015,6,9
9,22,2015,4,4
9,21,2015,9,6
9,20,2015,8,9
9,19,2015,9,1
9,18,2015,6,9
9,17,2015,7,8
9,16,2015,1,9
9,15,2015,9,3
9,14,2015,5,0
9,13,2015,5,4
9,12,2015,0,1
9,11,2015,7,9
9,10,2015,6,9
9,09,2015,1,6
9,08,2015,4,4
9,07,2015,3,1
9,06,2015,0,3
9,05,2015,7,6
9,04,2015,9,8
9,03,2015,7,9
9,02,2015,4,1
9,01,2015,1,0
8,31,2015,5,4
8,30,2015,9,3
8,29,2015,1,6
8,28,2015,5,3
8,27,2015,2,5
8,26,2015,5,8
8,25,2015,5,9
8,24,2015,2,3
8,23,2015,7,5
8,22,2015,2,3
8,21,2015,9,0
8,20,2015,7,0
8,19,2015,1,8
8,18,2015,9,0
8,17,2015,4,5
8,16,2015,3,7
8,15,2015,9,7
8,14,2015,2,2
8,13,2015,1,5
8,12,2015,2,8
8,11,2015,0,2
8,10,2015,9,3
8,09,2015,0,6
8,08,2015,7,6
8,07,2015,2,7
8,06,2015,0,2
8,05,2015,8,8
8,04,2015,3,0
8,03,2015,2,2
8,02,2015,4,5
8,01,2015,3,4
7,31,2015,7,4
7,30,2015,5,5
7,29,2015,1,5
7,28,2015,4,2
7,27,2015,3,8
7,26,2015,8,6
7,25,2015,1,4
7,24,2015,1,0
7,23,2015,8,5
7,22,2015,9,4
7,21,2015,0,8
7,20,2015,8,1
7,19,2015,1,4
7,18,2015,3,7
7,17,2015,5,6
7,16,2015,9,6
7,15,2015,4,8
7,14,2015,5,8
7,13,2015,1,2
7,12,2015,5,4
7,11,2015,6,3
7,10,2015,7,2
7,09,2015,5,4
7,08,2015,0,3
7,07,2015,8,9
7,06,2015,8,1
7,05,2015,4,2
7,04,2015,8,8
7,03,2015,0,4
7,02,2015,5,1
7,01,2015,1,2
6,30,2015,3,8
6,29,2015,4,1
6,28,2015,5,4
6,27,2015,5,9
6,26,2015,7,0
6,25,2015,4,7
6,24,2015,2,8
6,23,2015,1,7
6,22,2015,5,8
6,21,2015,5,3
6,20,2015,4,5
6,19,2015,3,0
6,18,2015,1,8
6,17,2015,7,6
6,16,2015,7,7
6,15,2015,6,3
6,14,2015,1,8
6,13,2015,8,4
6,12,2015,1,2
6,11,2015,8,6
6,10,2015,1,0
6,09,2015,0,8
6,08,2015,6,6
6,07,2015,1,3
6,06,2015,5,2
6,05,2015,6,9
6,04,2015,3,7
6,03,2015,0,4
6,02,2015,6,9
6,01,2015,3,6
5,31,2015,1,3
5,30,2015,4,1
5,29,2015,7,1
5,28,2015,7,7
5,27,2015,6,8
5,26,2015,4,1
5,25,2015,1,3
5,24,2015,1,4
5,23,2015,4,7
5,22,2015,7,9
5,21,2015,9,9
5,20,2015,7,5
5,19,2015,9,2
5,18,2015,2,2
5,17,2015,0,1
5,16,2015,6,3
5,15,2015,0,2
5,14,2015,5,9
5,13,2015,0,5
5,12,2015,0,0
5,11,2015,0,0
5,10,2015,6,4
5,09,2015,0,8
5,08,2015,8,9
5,07,2015,9,8
5,06,2015,3,5
5,05,2015,9,3
5,04,2015,1,8
5,03,2015,1,6
5,02,2015,0,9
5,01,2015,9,3
4,30,2015,7,8
4,29,2015,4,6
4,28,2015,0,1
4,27,2015,3,8
4,26,2015,4,1
4,25,2015,9,4
4,24,2015,3,7
4,23,2015,0,4
4,22,2015,8,3
4,21,2015,1,3
4,20,2015,2,8
4,19,2015,9,5
4,18,2015,6,9
4,17,2015,8,1
4,16,2015,5,8
4,15,2015,8,9
4,14,2015,6,5
4,13,2015,3,8
4,12,2015,5,1
4,11,2015,6,4
4,10,2015,5,7
4,09,2015,2,1
4,08,2015,4,1
4,07,2015,9,5
4,06,2015,0,2
4,05,2015,6,6
4,04,2015,3,5
4,03,2015,2,2
4,02,2015,1,8
4,01,2015,4,1
3,31,2015,3,7
3,30,2015,0,4
3,29,2015,9,1
3,28,2015,1,5
3,27,2015,4,0
3,26,2015,2,6
3,25,2015,9,3
3,24,2015,3,3
3,23,2015,4,6
3,22,2015,3,8
3,21,2015,2,3
3,20,2015,1,6
3,19,2015,4,1
3,18,2015,9,9
3,17,2015,5,7
3,16,2015,8,2
3,15,2015,5,4
3,14,2015,0,9
3,13,2015,6,2
3,12,2015,5,1
3,11,2015,3,7
3,10,2015,7,0
3,09,2015,1,1
3,08,2015,2,9
3,07,2015,0,0
3,06,2015,6,5
3,05,2015,0,7
3,04,2015,0,1
3,03,2015,9,1
3,02,2015,8,7
3,01,2015,4,6
2,28,2015,0,6
2,27,2015,5,6
2,26,2015,4,9
2,25,2015,3,0
2,24,2015,3,4
2,23,2015,0,9
2,22,2015,8,8
2,21,2015,1,6
2,20,2015,2,7
2,19,2015,5,8
2,18,2015,6,6
2,17,2015,0,6
2,16,2015,0,6
2,15,2015,6,1
2,14,2015,3,3
2,13,2015,1,5
2,12,2015,8,9
2,11,2015,2,7
2,10,2015,9,1
2,09,2015,8,9
2,08,2015,2,2
2,07,2015,1,5
2,06,2015,0,4
2,05,2015,1,8
2,04,2015,8,7
2,03,2015,8,0
2,02,2015,7,2
2,01,2015,7,1
1,31,2015,2,3
1,30,2015,7,2
1,29,2015,9,9
1,28,2015,8,7
1,27,2015,8,2
1,26,2015,7,3
1,25,2015,5,7
1,24,2015,8,6
1,23,2015,2,7
1,22,2015,4,1
1,21,2015,4,1
1,20,2015,4,9
1,19,2015,1,1
1,18,2015,9,6
1,17,2015,1,8
1,16,2015,3,6
1,15,2015,3,2
1,14,2015,5,7
1,13,2015,6,3
1,12,2015,2,2
1,11,2015,1,9
1,10,2015,1,1
1,09,2015,2,2
1,08,2015,0,9
1,07,2015,7,1
1,06,2015,1,7
1,05,2015,5,0
1,04,2015,8,9
1,03,2015,2,8
1,02,2015,0,3
1,01,2015,8,5
12,31,2016,8,7
12,30,2016,7,2
12,29,2016,4,7
12,28,2016,3,4
12,27,2016,6,6
12,26,2016,7,9
12,25,2016,4,4
12,24,2016,6,0
12,23,2016,4,3
12,22,2016,9,1
12,21,2016,0,2
12,20,2016,5,2
12,19,2016,8,2
12,18,2016,6,2
12,17,2016,1,5
12,16,2016,2,9
12,15,2016,3,5
12,14,2016,8,6
12,13,2016,4,8
12,12,2016,6,7
12,11,2016,6,3
12,10,2016,1,6
12,09,2016,4,0
12,08,2016,1,1
12,07,2016,0,0
12,06,2016,9,8
12,05,2016,5,7
12,04,2016,1,4
12,03,2016,6,8
12,02,2016,4,3
12,01,2016,8,2
11,30,2016,9,6
11,29,2016,0,9
11,28,2016,9,6
11,27,2016,6,8
11,26,2016,5,7
11,25,2016,4,5
11,24,2016,6,9
11,23,2016,9,8
11,22,2016,6,2
11,21,2016,3,4
11,20,2016,0,7
11,19,2016,3,4
11,18,2016,5,2
11,17,2016,6,1
11,16,2016,7,3
11,15,2016,0,8
11,14,2016,9,6
11,13,2016,5,4
11,12,2016,8,7
11,11,2016,0,7
11,10,2016,4,5
11,09,2016,3,4
11,08,2016,4,4
11,07,2016,4,5
11,06,2016,8,7
11,05,2016,8,9
11,04,2016,1,1
11,03,2016,0,9
11,02,2016,9,7
11,01,2016,4,1
10,31,2016,6,2
10,30,2016,1,6
10,29,2016,0,1
10,28,2016,8,1
10,27,2016,4,4
10,26,2016,5,2
10,25,2016,3,1
10,24,2016,5,6
10,23,2016,2,5
10,22,2016,4,2
10,21,2016,5,1
10,20,2016,9,7
10,19,2016,9,2
10,18,2016,6,8
10,17,2016,7,2
10,16,2016,1,2
10,15,2016,7,5
10,14,2016,8,4
10,13,2016,9,0
10,12,2016,1,0
10,11,2016,5,3
10,10,2016,3,6
10,09,2016,8,1
10,08,2016,9,4
10,07,2016,9,1
10,06,2016,2,1
10,05,2016,7,5
10,04,2016,5,4
10,03,2016,1,1
10,02,2016,6,2
10,01,2016,5,1
9,30,2016,1,0
9,29,2016,2,4
9,28,2016,5,1
9,27,2016,1,5
9,26,2016,8,9
9,25,2016,9,4
9,24,2016,4,2
9,23,2016,8,6
9,22,2016,1,6
9,21,2016,3,3
9,20,2016,3,5
9,19,2016,2,3
9,18,2016,0,0
9,17,2016,1,5
9,16,2016,8,7
9,15,2016,7,9
9,14,2016,8,5
9,13,2016,2,0
9,12,2016,9,1
9,11,2016,0,5
9,10,2016,9,1
9,09,2016,0,6
9,08,2016,9,1
9,07,2016,2,4
9,06,2016,2,6
9,05,2016,2,1
9,04,2016,5,0
9,03,2016,9,2
9,02,2016,5,0
9,01,2016,6,3
8,31,2016,1,2
8,30,2016,7,5
8,29,2016,9,4
8,28,2016,3,5
8,27,2016,5,2
8,26,2016,4,5
8,25,2016,1,9
8,24,2016,1,4
8,23,2016,8,6
8,22,2016,2,9
8,21,2016,2,2
8,20,2016,5,2
8,19,2016,8,2
8,18,2016,2,2
8,17,2016,2,8
8,16,2016,8,4
8,15,2016,1,9
8,14,2016,8,9
8,13,2016,5,7
8,12,2016,5,7
8,11,2016,8,6
8,10,2016,9,7
8,09,2016,0,9
8,08,2016,3,9
8,07,2016,3,4
8,06,2016,1,4
8,05,2016,9,9
8,04,2016,7,1
8,03,2016,2,1
8,02,2016,8,0
8,01,2016,4,3
7,31,2016,2,2
7,30,2016,1,1
7,29,2016,2,0
7,28,2016,6,6
7,27,2016,0,1
7,26,2016,7,9
7,25,2016,5,7
7,24,2016,0,6
7,23,2016,5,2
7,22,2016,7,2
7,21,2016,3,3
7,20,2016,0,5
7,19,2016,4,4
7,18,2016,8,2
7,17,2016,7,7
7,16,2016,7,8
7,15,2016,9,4
7,14,2016,9,0
7,13,2016,6,4
7,12,2016,8,8
7,11,2016,0,6
7,10,2016,4,8
7,09,2016,8,7
7,08,2016,0,9
7,07,2016,7,8
7,06,2016,2,5
7,05,2016,7,0
7,04,2016,7,7
7,03,2016,2,4
7,02,2016,2,6
7,01,2016,0,7
6,30,2016,0,6
6,29,2016,1,8
6,28,2016,8,7
6,27,2016,9,8
6,26,2016,7,6
6,25,2016,7,1
6,24,2016,1,7
6,23,2016,7,6
6,22,2016,8,5
6,21,2016,5,4
6,20,2016,4,2
6,19,2016,5,6
6,18,2016,6,2
6,17,2016,6,6
6,16,2016,4,8
6,15,2016,2,0
6,14,2016,5,9
6,13,2016,3,5
6,12,2016,3,9
6,11,2016,9,5
6,10,2016,7,4
6,09,2016,7,1
6,08,2016,7,3
6,07,2016,6,7
6,06,2016,1,5
6,05,2016,3,0
6,04,2016,6,5
6,03,2016,8,8
6,02,2016,5,5
6,01,2016,5,9
5,31,2016,9,1
5,30,2016,1,8
5,29,2016,5,9
5,28,2016,1,7
5,27,2016,2,2
5,26,2016,0,3
5,25,2016,6,4
5,24,2016,0,4
5,23,2016,6,6
5,22,2016,3,4
5,21,2016,1,7
5,20,2016,4,2
5,19,2016,0,3
5,18,2016,0,0
5,17,2016,9,2
5,16,2016,3,6
5,15,2016,7,1
5,14,2016,1,7
5,13,2016,9,4
5,12,2016,9,6
5,11,2016,7,2
5,10,2016,4,9
5,09,2016,2,0
5,08,2016,3,9
5,07,2016,8,1
5,06,2016,3,6
5,05,2016,6,8
5,04,2016,0,1
5,03,2016,5,4
5,02,2016,3,2
5,01,2016,2,4
4,30,2016,0,7
4,29,2016,1,0
4,28,2016,3,7
4,27,2016,4,8
4,26,2016,8,5
4,25,2016,6,0
4,24,2016,1,4
4,23,2016,9,5
4,22,2016,4,6
4,21,2016,5,8
4,20,2016,6,6
4,19,2016,4,2
4,18,2016,5,8
4,17,2016,8,3
4,16,2016,3,7
4,15,2016,9,6
4,14,2016,1,2
4,13,2016,7,4
4,12,2016,9,2
4,11,2016,1,3
4,10,2016,2,5
4,09,2016,0,9
4,08,2016,1,9
4,07,2016,6,4
4,06,2016,9,8
4,05,2016,7,0
4,04,2016,4,1
4,03,2016,8,8
4,02,2016,6,2
4,01,2016,7,1
3,31,2016,6,3
3,30,2016,0,6
3,29,2016,1,6
3,28,2016,7,0
3,27,2016,9,4
3,26,2016,9,0
3,25,2016,8,8
3,24,2016,4,1
3,23,2016,9,2
3,22,2016,3,8
3,21,2016,0,8
3,20,2016,4,3
3,19,2016,8,8
3,18,2016,5,9
3,17,2016,9,1
3,16,2016,8,7
3,15,2016,8,5
3,14,2016,9,5
3,13,2016,3,1
3,12,2016,5,7
3,11,2016,5,6
3,10,2016,4,9
3,09,2016,3,9
3,08,2016,9,2
3,07,2016,0,0
